postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SW35RP,SW3 5RP,SW,69.5,114.5,331,9,,92.2,132,331,10,15.3,36,1,,14,17.7,36,0,0,1,0,5,1,6,153,75,19,,101,175,543
SW35RT,SW3 5RT,SW,79.7,162.2,1000,,,103.5,162.2,750,19.5,16,21,,,11.2,10.2,0,0,0,0,0,20,2,22,303,41,,,197,179,0
SW35RU,SW3 5RU,SW,93.3,179.5,1000,6,28,102.2,194.2,777,19.4,16.2,36,0,11,11.1,11.2,12,0,0,1,1,19,3,22,251,157,0,12,189,171,52
SW35RX,SW3 5RX,SW,69,76.8,205,8,18,86.6,86.6,,10,12.8,21,1,5.5,12.2,12.2,,0,0,1,2,19,0,19,160,111,0,65,128,128,
SW35RY,SW3 5RY,SW,74.3,124.1,1000,,14.5,85.4,136.2,1000,18.9,14.5,21,,3,13.3,12.6,0,0,0,0,2,17,1,18,136,80,,2,104,98,0
SW35SA,SW3 5SA,SW,70.6,68,107,,15.5,75,75,,10,11.8,20,,1.5,13.1,13.1,,0,0,0,2,15,0,15,409,341,,60,456,456,
SW35SB,SW3 5SB,SW,78.1,141.2,1096,,,81.5,141.2,1096,20,19.6,49,,,17.8,19.6,49,0,0,0,0,16,1,17,387,305,,,387,364,0
SW35SD,SW3 5SD,SW,76.9,130,460,,11,95.7,138.5,395.5,19.3,16.9,36,,1,15.1,18.1,36,0,0,0,1,12,2,14,427,357,,87,433,452,565
SW35SH,SW3 5SH,SW,78.9,131.9,331,,,92.1,131.9,331,19.5,20.1,36,,,16.9,20.1,36,0,0,0,0,10,2,12,923,897,,,696,769,1135
SW35SR,SW3 5SR,SW,75.4,73.8,107,,,73.8,73.8,,19.6,16.5,20,,,16.5,16.5,,0,0,0,0,12,0,12,248,93,,,248,248,
SW35ST,SW3 5ST,SW,93.3,176.1,593,,,110.3,176.1,461.3,20,20.8,39,,,17.1,20.8,37,0,0,0,0,13,3,16,424,330,,,434,397,237
SW35SU,SW3 5SU,SW,77.9,127.5,460,,,90.6,127.5,460,20,18.4,36,,,16.4,18.4,36,0,0,0,0,9,1,10,380,139,,,318,304,178
SW35TB,SW3 5TB,SW,78.1,97.6,205,,,97.5,97.5,,19.8,19.9,21,,,20,20,,0,0,0,0,6,0,6,392,262,,,392,392,
SW35TD,SW3 5TD,SW,77.3,164.5,460,,,68.8,164.5,427.8,19.5,20.2,36,,,14.5,20.2,36,0,0,0,0,11,4,15,329,218,,,220,307,548
SW35TE,SW3 5TE,SW,77.9,115.3,460,,,74.7,115.3,460,19.5,18.6,36,,,16.6,18.6,36,0,0,0,0,17,2,19,434,406,,,355,411,883
SW35TJ,SW3 5TJ,SW,54.7,78.8,331,10,28.5,72.9,90.1,331,10,12.5,36,1,9,12.1,13.7,36,0,0,1,2,14,1,15,262,161,115,39,293,284,161
SW35TP,SW3 5TP,SW,150,317.3,1000,1,,123.7,332.3,1000,19.8,15,20,1,,5.6,4.3,0,1,0,0,0,16,5,21,160,16,15,,59,45,0
SW35TR,SW3 5TR,SW,150,308.6,1000,,,135.8,308.6,1000,18.9,17,20,,,3.4,2.7,0,0,0,0,0,20,5,25,89,47,,,18,14,0
SW35TS,SW3 5TS,SW,150,218.1,1000,,,125.8,218.1,833.3,17.4,15.9,20,,,5.6,4.9,0,0,0,0,0,20,3,23,278,152,,,83,73,0
SW35TT,SW3 5TT,SW,150,272.6,1000,,,127.1,272.6,1000,19.5,18.5,21,,,6.5,5.4,0,0,0,0,0,20,4,24,361,347,,,108,90,0
SW35TX,SW3 5TX,SW,73.5,86.5,331,5,,76.3,91.3,331,20,17.2,36,1,,17.1,18.2,36,0,1,0,0,16,1,17,305,229,197,,277,276,266
SW35UA,SW3 5UA,SW,77.5,61.7,79.91,,13,66.8,66.8,,19.5,15.5,20,,1,17.1,17.1,,0,0,0,2,19,0,19,498,320,,84,516,516,
SW35UH,SW3 5UH,SW,73.4,114.1,460,,,93.8,114.1,460,19.5,18.1,36,,,17,18.1,36,0,0,0,0,17,1,18,344,283,,,285,306,653
SW35UR,SW3 5UR,SW,70.9,90.2,331,,19.5,76.1,108,331,19.8,16.7,36,,1,18.4,20.6,36,0,0,0,2,7,1,8,307,289,,402,239,245,289
SW35UW,SW3 5UW,SW,77.6,82,205,,29,86.8,86.8,,19.5,15.4,21,,5,16.3,16.3,,0,0,0,1,11,0,11,353,388,,651,294,294,
SW35UY,SW3 5UY,SW,76.4,73.8,107,,,73.8,73.8,,19.8,15.4,20,,,15.4,15.4,,0,0,0,0,8,0,8,294,276,,,294,294,
SW35UZ,SW3 5UZ,SW,76.3,67.2,79.99,,14,71.7,71.7,,20,17,20,,1,18.3,18.3,,0,0,0,1,12,0,12,209,161,,0,192,192,
SW35XP,SW3 5XP,SW,33.6,40.3,79.67,9.5,12.5,64,64,,11.6,10.6,20,1,1,18.2,18.2,,0,0,2,2,5,0,5,88,93,31,86,77,77,
SW35XR,SW3 5XR,SW,64.4,57.7,79.67,,19,62,62,,19.8,15.8,20,,10,16.4,16.4,,0,0,0,1,9,0,9,329,239,,152,349,349,
