postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EC3N4EE,EC3N 4EE,EC,16.9,17,18.18,,17,,,,1,1,1.27,,1,,,,0,0,0,6,0,0,0,91,46,,76,,,
EC3R5AQ,EC3R 5AQ,EC,24.4,21.3,24.38,7,23.1,,,,1.2,1.1,1.28,0,1.1,,,,0,0,1,8,0,0,0,117,77,33,113,,,
EC3R6AL,EC3R 6AL,EC,160,210.5,1096,4.5,11,122.8,219.7,459.6,21,25.4,115,0.5,1,15.9,26.6,52.9,1,0,1,1,47,19,66,313,245,1,0,241,271,344
EC3R6AP,EC3R 6AP,EC,160,297.3,1096,,,94.9,297.3,564.4,30,33.2,115,,,15.6,33.2,56.5,0,0,0,0,33,25,58,497,347,,,298,394,520
EC3R8BT,EC3R 8BT,EC,20.4,16.8,23.65,1.5,19.2,,,,1.2,1.1,1.27,0.5,1.2,,,,1,1,0,13,0,0,0,185,127,64,175,,,
EC3R8DR,EC3R 8DR,EC,20.9,20.3,22.89,,20.4,,,,1.2,1.2,1.28,,1.1,,,,0,0,0,8,0,0,0,223,55,,223,,,
EC3R8EB,EC3R 8EB,EC,21,19.2,24.38,8,20.2,,,,1.2,1.1,1.28,1,1.1,,,,0,0,1,12,0,0,0,152,94,1,165,,,
EC3R8EE,EC3R 8EE,EC,22.3,21.9,23.59,,21.9,,,,1.2,1.2,1.28,,1.1,,,,0,0,0,16,0,0,0,230,126,,216,,,
EC3V1LR,EC3V 1LR,EC,19.9,15.4,23.84,5.7,20.3,,,,1.1,1,1.28,0.7,1.2,,,,0,1,2,6,0,0,0,29,6,1,34,,,
EC3V1LT,EC3V 1LT,EC,19.9,22.3,71.32,8,18.3,55.5,55.5,,1.1,2.9,20,1,1.2,15,15,,0,0,1,13,2,0,2,14,6,8,9,27,27,
EC3V3LP,EC3V 3LP,EC,14.5,25.6,79.67,8,14.3,79.5,79.5,,1,4.4,20,1,1,20,20,,0,0,1,8,2,0,2,90,30,24,73,147,147,
EC3V3LQ,EC3V 3LQ,EC,18.6,18.8,23.05,,18.9,,,,1.2,1.3,2.22,,1.3,,,,0,0,0,7,0,0,0,21,23,,18,,,
EC3V3ND,EC3V 3ND,EC,19.3,17.3,24.34,8,20.3,,,,1,1.1,1.21,1,1.2,,,,0,0,2,6,0,0,0,15,3,1,15,,,
EC3V3PD,EC3V 3PD,EC,18.3,18.5,21.12,,18.6,,,,1.1,1.1,1.28,,1.1,,,,0,0,0,7,0,0,0,25,10,,18,,,
EC4A1BF,EC4A 1BF,EC,150,276,1000,9,16.6,124.3,383.8,684.2,1.2,1.2,1.26,1,1.2,0,0,0,0,0,1,16,22,19,41,83,76,0,88,0,0,0
EC4A1BX,EC4A 1BX,EC,125,224.7,1000,,19.5,95.2,235.5,857.1,1.1,1.1,1.27,,1,0,0,0,0,0,0,2,31,7,38,109,109,,55,0,0,0
EC4A1BY,EC4A 1BY,EC,100,99.6,150,,17.4,116.7,116.7,,1.2,1.2,1.26,,1.2,0,0,,0,0,0,5,24,0,24,144,66,,144,0,0,
EC4A1DT,EC4A 1DT,EC,21,20.8,23.44,,20.8,,,,1.2,1.1,1.29,,1.1,,,,0,0,0,8,0,0,0,320,282,,240,,,
EC4A1EP,EC4A 1EP,EC,18.7,17.4,22.23,8,18.7,,,,1.2,1.1,1.29,0,1.1,,,,0,0,1,7,0,0,0,60,28,0,69,,,
