postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E47NH,E4 7NH,E,39.5,60.2,107,,18.7,78,78,,7.2,7.9,10,,6,8.7,8.7,,0,0,0,3,7,0,7,242,212,,128,256,256,
E47NJ,E4 7NJ,E,78.1,104.6,593,,11.5,89.9,109.5,462,19.5,16.3,39,,1,16,17.1,37.5,0,0,0,2,36,2,38,414,330,,347,412,395,88
E47NL,E4 7NL,E,107,118.5,331,2,,92.5,123.6,331,10,16.2,36,1,,13.9,16.8,36,0,1,0,0,20,3,23,336,273,0,,338,351,438
E47NN,E4 7NN,E,53.7,80.1,593,,16,66.4,101.5,593,10,10.7,39,,2,11.8,13.6,39,0,0,0,5,14,1,15,455,356,,655,384,358,0
E47NP,E4 7NP,E,75.5,107.2,331,9.7,,93.2,129.8,331,19.5,15.9,36,1,,16.3,19.3,36,0,0,3,0,11,2,13,441,268,302,,491,473,372
E47NQ,E4 7NQ,E,52.1,117.6,593,4,18.2,75,155.8,505.7,9.8,11.8,39,1,3.4,9.9,15.2,38,0,1,0,5,13,3,16,546,278,13,458,541,538,527
E47NR,E4 7NR,E,67.3,106.9,593,7.3,29.3,89.1,138.5,418.3,19.5,16.2,39,4.8,6.7,16.9,19.9,37,0,0,4,3,17,3,20,471,315,179,68,523,567,815
E47NS,E4 7NS,E,67.5,55,79.67,2,16.3,67.1,67.1,,18.8,14,20,1,1.3,17.6,17.6,,1,0,0,3,14,0,14,687,360,28,1151,635,635,
E47NT,E4 7NT,E,34.4,57.7,593,6,17.9,46,82.5,593,7.3,7.4,39,1,2.9,8.2,10.3,39,0,0,1,8,14,1,15,678,395,29,647,694,647,0
E47NU,E4 7NU,E,57.1,70.4,460,,15,64,75,460,12.5,13.1,36,,1.3,13.5,14.1,36,0,0,0,3,35,1,36,638,580,,317,675,665,340
E47NW,E4 7NW,E,76.2,83.8,205,8.3,,92.1,92.1,,19.8,15.5,21,0.7,,17.1,17.1,,0,0,3,0,27,0,27,485,345,525,,481,481,
E47NX,E4 7NX,E,69.6,95.3,331,,,77.2,95.3,331,19.5,19.2,36,,,17.9,19.2,36,0,0,0,0,13,1,14,335,241,,,332,336,382
E47NZ,E4 7NZ,E,107,121.6,593,6,16.8,102.2,137.7,435.8,10,15,39,1,1.2,14.6,17,37.2,1,0,1,5,42,5,47,451,327,237,226,425,388,79
E47PA,E4 7PA,E,69.6,78,331,,22.7,75.3,83,331,19.1,15.8,36,,5.3,16.2,16.8,36,0,0,0,3,32,1,33,863,572,,1731,764,758,589
E47PB,E4 7PB,E,79.9,146.6,593,5.5,16,93,157.4,442.7,17.2,17.8,39,0.5,10,14.9,18.9,36.9,0,1,1,1,31,7,38,418,247,53,5,379,426,634
E47PD,E4 7PD,E,62.3,104.8,593,5,12,83,112.2,462,16,15.7,39,1,1,15.1,16.8,37.5,0,1,0,1,24,2,26,516,301,86,59,510,471,0
E47PE,E4 7PE,E,74.4,166.5,1096,6,27.5,99.5,182.1,562.2,19.3,18.4,49,0,9.5,15.4,19.6,39.2,0,0,1,2,23,5,28,674,535,86,1209,652,609,409
E47PF,E4 7PF,E,48.3,84.2,593,6.7,21.2,80.2,103.8,418.3,9.8,10.7,39,2,4.5,11,12.8,37,0,1,5,6,40,3,43,446,354,302,225,456,455,444
E47PG,E4 7PG,E,55,86.3,593,5.3,25,77.2,95.5,462,10.1,13.3,39,0.8,1,13.6,14.8,37.5,0,3,1,1,40,2,42,482,328,97,843,511,488,20
E47PH,E4 7PH,E,33.8,72.5,593,6.3,24.5,81.2,108.1,593,7.4,8.9,39,1,5.6,10.4,11.9,39,0,1,2,10,18,1,19,570,420,296,405,675,640,0
E47PJ,E4 7PJ,E,107,108.1,331,6,28,101.4,134.2,331,10,12.6,36,1,6.3,11.7,15.1,36,0,1,2,3,18,3,21,673,600,72,830,682,704,838
E47PL,E4 7PL,E,107,157.4,593,,19.7,119.2,186.9,593,10,16,39,,7.7,14.3,17.8,39,0,0,0,3,12,2,14,432,342,,575,360,308,0
E47PN,E4 7PN,E,44.1,70.8,205,8,19,80.1,80.1,,10,9.3,21,1,5,10.2,10.2,,0,0,1,2,18,0,18,645,381,41,354,711,711,
