postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NW35PL,NW3 5PL,NW,79.9,118.4,593,6,14.5,104.5,139,461.3,10,13.8,39,1,1,14,16.2,37,0,1,1,4,28,3,31,443,314,331,233,393,378,232
NW35PP,NW3 5PP,NW,58.6,68.2,205,7,15.3,107.1,107.1,,10,9.1,21,1,4.5,12.9,12.9,,0,0,1,4,7,0,7,370,368,7,86,531,531,
NW35PS,NW3 5PS,NW,17.9,113.5,593,6.3,15.6,114.8,244.9,418.3,1.2,10.7,39,1,1,12.8,23.1,37,0,0,4,5,4,3,7,302,291,76,331,457,366,245
NW35PT,NW3 5PT,NW,13.9,113.7,331,8,13.7,205,268,331,1.2,12.1,36,1,1,21,28.5,36,0,0,3,3,2,2,4,276,302,89,241,320,305,290
NW35PU,NW3 5PU,NW,107,107.8,205,,14,123.3,123.3,,10,10.3,21,,1,11.8,11.8,,0,0,0,1,6,0,6,269,273,,386,205,205,
NW35PX,NW3 5PX,NW,78.1,135.9,1096,9,18,84,149.3,672,18.1,16.3,49,1,1,15.2,18,40.3,0,0,1,2,24,3,27,564,440,33,312,604,581,400
NW35QA,NW3 5QA,NW,107,184.4,1096,8,19,122.3,202.3,629,10,17,49,1,1,14.6,18.7,40.3,0,0,1,1,16,3,19,390,224,54,156,394,379,299
NW35QE,NW3 5QE,NW,64.8,90.3,331,2,15,89.8,124.3,331,19.5,14.9,36,1,1,18.3,20.9,36,0,1,0,2,6,1,7,459,289,0,68,535,571,786
NW35QG,NW3 5QG,NW,79.7,189.6,1096,,,94,189.6,620,20,21.5,49,,,17.3,21.5,40,0,0,0,0,18,4,22,333,238,,,306,273,123
NW35QH,NW3 5QH,NW,73.2,132,331,,,92.2,132,331,20,20.2,36,,,17,20.2,36,0,0,0,0,5,1,6,252,110,,,285,253,89
NW35QJ,NW3 5QJ,NW,107,215.2,1096,,,103.9,215.2,586,10,18.3,49,,,11.7,18.3,40.3,0,0,0,0,10,3,13,303,293,,,243,187,0
NW35QL,NW3 5QL,NW,54.8,72.6,205,,15,87,87,,10,10,21,,1,12.3,12.3,,0,0,0,1,4,0,4,221,117,,166,235,235,
NW35QN,NW3 5QN,NW,54.8,75.8,205,,19,82.2,82.2,,10,13.3,21,,10,13.7,13.7,,0,0,0,1,9,0,9,175,161,,1,195,195,
NW35QR,NW3 5QR,NW,107,137.6,331,,,118.3,137.6,331,20,19,36,,,17.3,19,36,0,0,0,0,10,1,11,283,247,,,273,283,384
